name,img,instagram,labels
CAMELPHAT,https://www.beatstats.com/images/artist/large/150756.jpg?version=13415,https://www.instagram.com/camelphat,"['MAHOOL', 'WHEN STARS ALIGN', 'DEFECTED', 'WHEN STARS ALIGN / THE N....', 'SIMULATE RECORDINGS', 'BROKE', 'VINTAGE CULTURE', 'KOMPAKT', 'HELIX RECORDS', 'AFTERLIFE RECORDS', 'PRYDA PRESENTS', 'MINISTRY OF SOUND RECORD....', 'DISTORTED YOUTH', 'THE MOMENT', 'AXTONE RECORDS']"
FISHER (OZ),https://www.beatstats.com/images/artist/large/628537.jpg?version=56822,https://www.instagram.com/fisher_(oz),"['CATCH & RELEASE', 'UNIVERSAL-ISLAND RECORDS....', 'TUFF GONG', 'YELLOW PRODUCTIONS', 'METHOD 808']"
PURPLE DISCO MACHINE,https://www.beatstats.com/images/artist/large/130259.jpg?version=33618,https://www.instagram.com/purple_disco_machine,"['DEFECTED', 'SWEAT IT OUT', 'DIFFERENT', 'HIGHER GROUND', 'STRICTLY RHYTHM', 'COLUMBIA LOCAL', 'NICE LIFE/ATLANTIC', 'CLUB SWEAT', 'VIRGIN RECORDS LTD', 'POLYDOR RECORDS', 'TOOLROOM', 'MALLIGATOR PRODUCTIONS /....', 'MILK & SUGAR', 'BOOGIE ANGST', 'PEPPERMINT JAM RECORDS', 'UNIDISC MUSIC', 'CLASSICS BY KOOKOO', 'WARNER RECORDS', 'SKINT RECORDS']"
ARTBAT,https://www.beatstats.com/images/artist/large/499932.jpg?version=51950,https://www.instagram.com/artbat,"['UPPERGROUND', 'POSITIVA', 'INSOMNIAC RECORDS', 'AETERNA RECORDS', 'ISLAND BERLIN', 'EMBASSY ONE', 'VARIETY MUSIC', 'EMI RECORDED MUSIC AUSTR....']"
BLOCK & CROWN,https://www.beatstats.com/images/artist/large/170336.jpg?version=51643,https://www.instagram.com/block_&_crown,"['SUPERCIRCUS', 'BOOTH BUSTERS', 'MASTERMIX RECORDS', 'DARK MONDAYS', 'SAVE THE NIGHTLIFE', 'ZYX', 'AGELESS', 'TRIBAL KITCHEN', 'FREAKS DO DANCE', 'CULTURE VIBEZ', 'BUZTED', 'SPAZ', 'SOPHISTICATED ELITE', 'SELFIE TUNES', 'FOR THE MUSIC', 'TACTICAL RECORDS', 'BALASH', 'CONFIDENT', 'REDUPLICATE', 'BURNING MEN RECORDS', 'CROISETTE RECORDS', 'SUBMENTAL RECORDS', 'ULTRA BOOGIE', 'TECTICAL', 'HARDCOPY NL RECORDINGS', 'SPOLVERATO', 'ANXIETY RECORDS', 'ALTITUDE RECORDS', 'INSTEREO RECORDINGS', 'JOMPSTA POP', 'HOUSEKLäNGE RECORDS', 'GLOBAL PLAYER MUSIC', 'BEATS FOR SPORTS', 'TWO TRIBES RECORDS']"
JOHN SUMMIT,https://www.beatstats.com/images/artist/large/610028.jpg?version=12945,https://www.instagram.com/john_summit,"['EXPERTS ONLY', 'MAU5TRAP', 'D4 D4NCE', 'DEFECTED', 'FFRR', 'SWEAT IT OUT']"
GREEN VELVET,https://www.beatstats.com/images/artist/large/7043.jpg?version=7612,https://www.instagram.com/green_velvet,"['DRUMCODE', 'RELIEF', 'HILOMATIK', 'BLACK BOOK RECORDS', 'TOOLROOM', 'ARMADA SUBJEKT', 'TRICK', 'PHIL KIERAN RECORDINGS']"
MARK KNIGHT,https://www.beatstats.com/images/artist/large/1938.jpg?version=54623,https://www.instagram.com/mark_knight,"['TOOLROOM', ""SPINNIN' RECORDS"", 'KOOKOO RECORDS', 'HOT STUFF', 'ARMADA SUBJEKT', 'TOOLROOM TRAX', 'NEW STATE MUSIC', 'VICIOUS']"
CHRIS LAKE,https://www.beatstats.com/images/artist/large/7179.jpg?version=49724,https://www.instagram.com/chris_lake,"['BLACK BOOK RECORDS', 'UNIVERSAL-ISLAND RECORDS....', 'EMI', 'ATLANTIC RECORDS', 'OWSLA']"
&ME,https://www.beatstats.com/images/artist/large/61960.jpg?version=13468,https://www.instagram.com/&me,"['KEINEMUSIK', 'VOD', 'RUMORS', 'DOG TRIUMPH PROFOUND MYS....', 'YOUNG ART RECORDS', 'PAMPA RECORDS']"
