label_name,label_points,label_image,label_instagram
SPINNIN' RECORDS,1012702 POINTS,https://www.beatstats.com/images/label/small/1609.jpg?version=54219,https://www.instagram.com/SPINNIN' RECORDS
DEFECTED,702650 POINTS,https://www.beatstats.com/images/label/small/1354.jpg?version=6617,https://www.instagram.com/DEFECTED
DRUMCODE,650256 POINTS,https://www.beatstats.com/images/label/small/2027.jpg?version=44336,https://www.instagram.com/DRUMCODE
TOOLROOM,615584 POINTS,https://www.beatstats.com/images/label/small/495.jpg?version=45869,https://www.instagram.com/TOOLROOM
HOT CREATIONS,354483 POINTS,https://www.beatstats.com/images/label/small/15781.jpg?version=10782,https://www.instagram.com/HOT CREATIONS
REVEALED RECORDINGS,313246 POINTS,https://www.beatstats.com/images/label/small/60772.jpg?version=1033,https://www.instagram.com/REVEALED RECORDINGS
SPINNIN' DEEP,293183 POINTS,https://www.beatstats.com/images/label/small/14217.jpg?version=49817,https://www.instagram.com/SPINNIN' DEEP
AFTERLIFE RECORDS,292917 POINTS,https://www.beatstats.com/images/label/small/56958.jpg?version=40347,https://www.instagram.com/AFTERLIFE RECORDS
ULTRA,288690 POINTS,https://www.beatstats.com/images/label/small/907.jpg?version=29225,https://www.instagram.com/ULTRA
MUSICAL FREEDOM,282641 POINTS,https://www.beatstats.com/images/label/small/14175.jpg?version=9923,https://www.instagram.com/MUSICAL FREEDOM
SUARA,251627 POINTS,https://www.beatstats.com/images/label/small/11133.jpg?version=46474,https://www.instagram.com/SUARA
GLASGOW UNDERGROUND,249729 POINTS,https://www.beatstats.com/images/label/small/14542.jpg?version=55525,https://www.instagram.com/GLASGOW UNDERGROUND
ENORMOUS TUNES,246535 POINTS,https://www.beatstats.com/images/label/small/10907.jpg?version=27610,https://www.instagram.com/ENORMOUS TUNES
PORNOSTAR RECORDS,225671 POINTS,https://www.beatstats.com/images/label/small/8953.jpg?version=2400,https://www.instagram.com/PORNOSTAR RECORDS
RELIEF,211533 POINTS,https://www.beatstats.com/images/label/small/900.jpg?version=16474,https://www.instagram.com/RELIEF
REPOPULATE MARS,207220 POINTS,https://www.beatstats.com/images/label/small/54131.jpg?version=63533,https://www.instagram.com/REPOPULATE MARS
DIYNAMIC,201830 POINTS,https://www.beatstats.com/images/label/small/3612.jpg?version=43285,https://www.instagram.com/DIYNAMIC
CATCH & RELEASE,201265 POINTS,https://www.beatstats.com/images/label/small/71740.jpg?version=31784,https://www.instagram.com/CATCH & RELEASE
